WDJ074104.57+774130.75,DA
WDJ160152.16+380455.24,DA
WDJ183314.43+482912.80,DA
WDJ075931.48+345850.36,DA
WDJ091640.53+011006.50,DA
WDJ231838.21+125925.28,DA
WDJ222433.00+080843.90,DA
WDJ094615.61+733046.52,DA
WDJ111808.27+573701.30,DA
WDJ221037.04+073843.84,DA
WDJ111449.08+524735.68,DA
WDJ232001.80+004951.63,DA
WDJ234145.72+285842.72,DA
WDJ021936.08+235449.01,DA
WDJ164031.98+222928.79,DA
WDJ122150.81+124513.32,DA
WDJ071943.49+333242.74,DA
WDJ101347.13+025913.82,DABZ
WDJ173239.46+353245.56,DABZ
WDJ081755.44+331511.03,DABZ
WDJ221209.04+254129.75,DABZ
WDJ022021.53+051514.70,DABZ
WDJ234330.49+250054.86,DABZ
WDJ014153.54+074314.37,DABZ
WDJ114638.32+562124.79,DAH
WDJ215903.08+265826.32,DAH
WDJ001344.01+280155.20,DAH
WDJ020205.49+013829.94,DAH
WDJ073733.28+752909.11,DAH
WDJ080130.86+562917.16,DAH
WDJ153841.45+023956.26,DAH
WDJ081509.82+533913.17,DAH
WDJ094412.81+680310.02,DAH
WDJ212002.85+152653.73,DAH
WDJ214358.71+011250.68,DAH
WDJ230025.55+084838.01,DAH
WDJ232136.82+050924.62,DAH
WDJ082626.33+504221.94,DAH
WDJ100932.75+524638.39,DAH
WDJ151415.91+015733.19,DAH
WDJ173730.16+241726.52,DAH
WDJ221435.57+065031.69,DAH
WDJ142748.13+053232.58,DAH
WDJ101847.14+304018.22,DAH
WDJ152334.10+460518.69,DAH
WDJ173522.33+280551.90,DAH
WDJ011340.19+015538.18,DAH
WDJ214258.71+033756.07,DAH
WDJ132401.70+140823.09,DAH
WDJ082239.44+082436.95,DAH
WDJ133629.40+245949.45,DAH
WDJ110005.06+602331.03,DAH
WDJ070333.93+692237.41,DAH
WDJ073800.16+251339.10,DAH
WDJ120939.60+503624.59,DAH
WDJ125713.14+240219.25,DAH
WDJ010945.53+073936.95,DAH
WDJ143026.28+444633.44,DAH
WDJ090632.65+080716.16,DAH
WDJ124816.83+411051.21,DAH
WDJ172929.64+291554.77,DAH
WDJ233111.92+170812.81,DAH
WDJ205442.10+084843.63,DAH
WDJ014525.91+071222.08,DAH
WDJ215148.32+125525.59,DAH
WDJ211305.35+162310.44,DAH
WDJ173254.87+255233.75,DAH
WDJ120331.94+663733.68,DAH
WDJ104405.56+564050.10,DAH
WDJ230237.91+184108.90,DAH
WDJ180053.00+514253.76,DAH
WDJ155623.16+311859.06,DAH
WDJ165619.78+051020.20,DAH
WDJ232723.45+290338.05,DAH
WDJ065008.06+603335.50,DAH
WDJ160724.38+293323.51,DAH
WDJ070405.88+695533.65,DAH
WDJ210359.71+071607.32,DAH
WDJ181228.42+332435.76,DAH
WDJ092526.97+475256.79,DAH
WDJ230225.59+311047.46,DAH
WDJ010807.24+313954.75,DAH
WDJ175953.54+465216.72,DAH
WDJ225215.82+100349.21,DAH
WDJ125052.23+211859.43,DAH
WDJ193527.39+673238.72,DAH
WDJ121816.83+762454.79,DAH
WDJ165711.76+170607.33,DAH
WDJ001050.27+242946.85,DAH
WDJ190335.09+612115.65,DAH
WDJ235958.62+301622.51,DAH
WDJ015528.19+055130.29,DAH
