WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ095225.02-024554.28,DA,0.9973001,20.3945,|                   |,0.00041579054,0.9973001,0.0003983402,0.00079200533,0.00014481334,1.1500343e-07,0.00023712676,0.00023284323,0.00023788918,0.00024098528
WDJ095146.87+224145.83,DA,0.9926386,19.5357,|                   |,0.00082939485,0.9926386,0.003972138,0.0002951687,0.000299462,8.904731e-08,0.0005954978,0.0007239609,0.00032029406,0.00032544904
WDJ090536.20+021741.85,DA,0.9903449,7.9786,|                   |,0.00063241523,0.9903449,0.005895967,0.00020708855,0.000496836,1.0389214e-07,0.00044787955,0.0008772644,0.00060608215,0.0004914819
WDJ093526.94-033930.53,DA,0.99479836,9.4163,|                   |,0.000114801005,0.99479836,0.00026720812,0.0005092332,0.00023345601,1.1950517e-07,0.00013877719,0.00014306248,0.0003359855,0.00345887
WDJ095109.43-035438.26,DA,0.9964009,6.121,|                   |,0.00014597244,0.9964009,0.0006986027,0.0006124342,0.00018295813,1.1245454e-07,0.00073383783,0.00019178075,0.0006707913,0.00036264246
WDJ092452.74+020712.26,DB,0.99934125,10.9199,|                   |,5.993186e-06,4.4475023e-12,3.9272556e-05,9.401238e-16,0.99934125,0.00021124317,2.6919201e-06,0.00018257281,9.290602e-06,0.00020774861
WDJ092832.37-045310.56,P<0.7,0.53895,62.1984,|                   |,0.014081013,0.43193617,0.0017763278,0.00015026,0.008115089,2.8230404e-06,0.0008189883,0.0007707449,0.00339846,0.53895
WDJ090051.92+033149.34,DC,0.79417676,12.1509,|                   |,0.004666085,0.06797929,0.04658639,0.00011746697,0.019891895,3.4372828e-05,0.79417676,0.04759177,0.016286839,0.002669147
WDJ092914.61-084502.91,DB,0.9961664,21.6038,|                   |,6.376573e-05,5.8921237e-09,0.0013562855,4.835848e-12,0.9961664,0.0008175846,2.757944e-05,0.000863573,0.00017769061,0.00052704196
WDJ093610.82+074702.18,DA,0.9974613,21.0396,|                   |,5.523967e-05,0.9974613,0.000195093,0.0016579544,9.506302e-05,1.580113e-07,0.0001351995,0.000103068895,0.00025907345,3.7979687e-05
WDJ090630.21+005816.68,DA,0.995857,11.4823,|                   |,0.00035367603,0.995857,0.0022016084,0.00023573697,0.00019237446,4.553844e-08,0.00030476047,0.00037833888,0.00026593215,0.00021058942
WDJ091826.06+375308.94,DA,0.99455667,9.9394,|                   |,0.0005962117,0.99455667,0.0017657455,0.0006797912,0.0002038165,1.3931098e-07,0.00068390404,0.0005776591,0.0004621601,0.0004739633
WDJ094134.57+735019.61,DZ,0.9881842,12.3642,|                   |,1.8360058e-07,1.7494485e-11,1.1694968e-06,0.011388774,4.3013258e-14,2.8001297e-05,4.5483653e-06,3.4850787e-06,0.9881842,0.00038961542
WDJ091703.73-031530.42,DA,0.99597204,15.2641,|                   |,0.00036503162,0.99597204,0.00077098573,0.0006635474,0.00018309629,1.2198441e-07,0.0008587177,0.0003680141,0.00048203478,0.00033636967
WDJ090920.68+084420.95,DA,0.9932825,9.3267,|                   |,0.00032950164,0.9932825,0.0014909725,0.0012155174,0.00045998103,5.628962e-07,0.00092421146,0.0005618524,0.0010848637,0.0006502281
WDJ090340.53-035631.56,DB,0.9978365,21.9033,|                   |,7.234068e-05,6.7271044e-10,0.00068053085,2.33929e-13,0.9978365,0.00034698864,1.1445292e-05,0.00039454337,6.3373765e-05,0.0005942294
WDJ090112.45+025244.41,DA,0.9963099,14.2748,|                   |,0.0002698724,0.9963099,0.00038383057,0.0009961991,9.8533266e-05,9.8522314e-08,0.000117598924,0.00012421988,0.00022888424,0.0014707671
WDJ092335.67+411230.33,DA,0.99712616,9.1581,|                   |,0.00034337063,0.99712616,0.0004045692,0.0007800139,0.00013707267,1.0722675e-07,0.0002539826,0.00030589613,0.0003400104,0.00030876402
WDJ095229.64-004629.73,DA,0.9962604,11.9367,|                   |,0.0007135716,0.9962604,0.00027103614,0.0011341698,6.557674e-05,7.465434e-08,0.0006009935,0.00033431084,0.00026339438,0.00035648295
WDJ090534.86-032108.50,DA,0.9962882,14.8416,|                   |,0.00034418877,0.9962882,0.00035093838,0.0017551885,0.00014930034,2.6302652e-07,0.0003269688,0.0002614645,0.0003110089,0.00021242321
WDJ093538.76+330454.34,DB,0.9650035,24.8439,|                   |,0.0006498211,4.8594206e-06,0.016435817,8.595926e-09,0.9650035,0.0017070138,0.00073796243,0.010183834,0.0027840903,0.0024929557
WDJ095639.93+083154.39,DA,0.99302953,7.7084,|                   |,0.00050657877,0.99302953,0.0042337948,0.00027421035,0.00023188522,6.403166e-08,0.0002624299,0.000696081,0.00047487323,0.0002905056
WDJ090714.92+510147.70,DA,0.99725294,19.4553,|                   |,0.00036050033,0.99725294,0.00035616534,0.0011274718,0.00010343456,1.16940804e-07,0.00019583142,0.00022006416,0.0002097357,0.0001737146
WDJ093400.51-065137.09,DA,0.9985828,34.6636,|                   |,4.732694e-05,0.9985828,0.00028512167,0.0006386927,6.1135e-05,3.910189e-08,0.00013896661,7.381679e-05,0.00014577138,2.6360229e-05
