WDJname,predicted_class,probability_of_predicted_class,spec_continuum_median_SNR,|                   |,prob_CV,prob_DA,prob_DAH,prob_DAZ_DZA,prob_DB,prob_DBZ_DZB,prob_DC,prob_DO,prob_DQ,prob_DZ
WDJ001740.55-015020.07,DA,0.997394,14.9265,|                   |,9.177058e-05,0.997394,0.00032814732,0.00087936176,0.00013635968,1.202228e-07,0.00025840075,0.00012784619,0.00041073345,0.00037328995
WDJ003907.13-152056.49,DA,0.9964787,15.6824,|                   |,0.00040048585,0.9964787,0.0005241059,0.0007851647,0.00012736795,1.0035821e-07,0.0006605274,0.0003329521,0.0003732003,0.00031732843
WDJ002102.47+102238.96,DA,0.9970001,22.214,|                   |,0.0005159113,0.9970001,0.00029874552,0.001092091,0.000112525326,1.2325765e-07,0.00023197332,0.00025083276,0.00022357493,0.00027405773
WDJ001046.35+123515.62,DA,0.9972119,12.5346,|                   |,0.00030935655,0.9972119,0.0004893231,0.00089837686,9.4062256e-05,8.4739625e-08,0.00023080285,0.00025444716,0.00030236875,0.00020932709
WDJ002806.83+022017.38,DA,0.99600387,18.8661,|                   |,0.00039397698,0.99600387,0.00029757043,0.0020003335,0.00012713182,2.5532634e-07,0.0003155997,0.00027349024,0.00036508104,0.00022277837
WDJ000707.62+011430.25,DA,0.9972022,10.5442,|                   |,0.00035185952,0.9972022,0.0006668466,0.00048724658,0.000104067476,5.0848783e-08,0.00038095386,0.00035259716,0.0002303046,0.0002237402
WDJ005304.01-070721.94,DA,0.9970835,12.4224,|                   |,8.8039335e-05,0.9970835,0.0014703957,0.0004291675,8.816231e-05,3.794707e-08,0.0005048538,7.875262e-05,0.00018002413,7.712334e-05
WDJ002633.89+005425.92,DB,0.996193,7.2714,|                   |,4.3005948e-05,1.589363e-08,0.00038307108,3.5946669e-12,0.996193,0.00022530927,1.0331445e-05,0.00089279126,5.7094327e-05,0.0021955112
WDJ005200.17+050338.08,DA,0.9943709,15.7032,|                   |,0.00020865061,0.9943709,0.00071151054,0.0010831656,0.00044604638,4.858772e-07,0.0014371531,0.00025070857,0.0010728886,0.000418429
WDJ004755.37+224549.25,DA,0.9976674,20.6668,|                   |,0.00010041897,0.9976674,0.0006438802,0.0010013831,8.596018e-05,8.628032e-08,0.0001291868,0.00013421674,0.00019663667,4.086936e-05
WDJ004511.18+212107.85,DA,0.995407,42.5749,|                   |,0.00018666364,0.995407,4.851746e-05,0.00062915555,5.7779116e-06,3.6519785e-09,2.9248322e-05,9.612731e-06,0.00010022934,0.0035838597
WDJ004332.63+110159.61,DA,0.9981168,40.4379,|                   |,3.0120396e-05,0.9981168,0.0007953635,0.000710731,3.5314246e-05,2.5146285e-08,0.00014422493,4.3288033e-05,0.000104316445,1.9745361e-05
WDJ002433.70+034907.00,DAZ/DZA,0.9495881,6.7236,|                   |,2.5623925e-05,0.028163452,0.000430525,0.9495881,2.574652e-05,0.0008680963,0.0003438229,0.00032569625,0.019236151,0.0009928353
WDJ000319.54+022623.28,DA,0.9967288,50.6806,|                   |,0.00041248093,0.9967288,0.00041655346,0.0009948013,0.00012387914,1.236396e-07,0.0004524311,0.00027329059,0.00032312187,0.00027461594
WDJ002228.26+203622.05,DA,0.9961361,11.5,|                   |,0.0004439294,0.9961361,0.00087396376,0.00091777585,0.00011692261,1.0772498e-07,0.00054119073,0.00031258666,0.00027464083,0.00038263615
WDJ000948.20+320010.59,DA,0.9979502,16.477,|                   |,0.00030449498,0.9979502,0.00016438357,0.0007071726,7.139234e-05,5.0590405e-08,0.0001715138,0.0001924316,0.00022956841,0.00020881063
WDJ004537.90-181453.55,DA,0.9971412,18.1786,|                   |,0.0003566134,0.9971412,0.00017260654,0.0014032585,7.950813e-05,1.1189034e-07,0.00022309484,0.00020516505,0.00024449168,0.00017392615
WDJ003047.51+210645.50,DA,0.99738514,13.6722,|                   |,0.00045803972,0.99738514,0.00020169985,0.00078649557,8.426022e-05,6.6444024e-08,0.00029746204,0.00021811761,0.00028014334,0.00028847568
WDJ000829.01-122106.27,DA,0.9931392,19.9955,|                   |,0.0007159472,0.9931392,0.001761537,0.00089054514,0.00019172198,1.7191655e-07,0.0019082767,0.000596636,0.00042243517,0.0003736212
WDJ000200.27+003334.55,DA,0.96559405,9.5179,|                   |,0.001277834,0.96559405,0.027880317,0.00028513154,0.00050461857,1.4900948e-07,0.0010908804,0.0021971317,0.0007192972,0.00045060983
WDJ005013.22-040416.56,DA,0.9918579,10.9351,|                   |,0.00013761615,0.9918579,0.0052698944,0.00058583514,6.940897e-05,4.099601e-08,0.0015476166,0.00014234846,0.00027470617,0.00011463356
WDJ002942.48-111013.62,DA,0.9975191,21.4148,|                   |,0.000225903,0.9975191,0.0003535418,0.0009704761,8.4738786e-05,8.2441495e-08,0.00024282171,0.00019718609,0.0002957075,0.00011055665
WDJ003631.38+030841.99,DB,0.978721,6.239,|                   |,0.0002664801,1.2088974e-05,0.003493847,1.9106028e-09,0.978721,0.00015468206,0.00037644536,0.0046475665,0.0013893921,0.010938351
WDJ000116.51+000205.07,DC,0.95777214,10.2691,|                   |,0.003867148,0.0022483466,0.003358648,9.024759e-06,0.016031154,6.43483e-05,0.95777214,0.006894857,0.009196492,0.00055783906
WDJ004054.31+184909.25,DA,0.99727404,14.5501,|                   |,0.000100635625,0.99727404,0.0010682093,0.0005017215,9.155988e-05,4.6063132e-08,0.0005922665,8.90701e-05,0.00020433526,7.8162826e-05
WDJ003956.78+222858.43,DA,0.9964202,7.8858,|                   |,0.00051982875,0.9964202,0.0004311092,0.00093229895,0.0001094418,1.0239904e-07,0.0005000339,0.00030210926,0.00038165122,0.00040325642
WDJ005514.17+311821.52,DA,0.9194626,38.3503,|                   |,0.0017861365,0.9194626,0.06701613,0.00013664304,0.0051109586,7.59549e-07,0.0012066413,0.0025055367,0.0015222688,0.0012522249
WDJ000603.53-021010.79,DA,0.99708676,36.8521,|                   |,0.0004635252,0.99708676,0.00036417818,0.00052877836,0.0002967392,1.5736771e-07,0.0002534949,0.00034094325,0.00037013405,0.0002952318
WDJ004237.75+305318.71,DA,0.9917812,8.1258,|                   |,0.0006230309,0.9917812,0.0012234253,0.0016132044,0.00031626414,5.1442663e-07,0.0025683132,0.00056449504,0.0007114907,0.00059801916
WDJ001733.95+274714.57,DB,0.8841926,6.7709,|                   |,0.0016278324,0.005609073,0.04289751,2.357437e-06,0.8841926,0.00037161724,0.0032292632,0.013735066,0.009744883,0.038589876
WDJ001624.09+082157.22,DA,0.99719477,24.782,|                   |,0.00033589962,0.99719477,0.0002365164,0.0013100449,0.00013067013,1.7166529e-07,0.00016925196,0.0002068557,0.00022964412,0.00018623665
WDJ002839.41+065529.97,DB,0.91459376,43.6615,|                   |,0.0034949905,0.00075878785,0.037766967,2.210068e-07,0.91459376,0.00026638727,0.0006054479,0.005029403,0.002552912,0.03493108
WDJ001223.40-075512.09,DB,0.99348503,9.2594,|                   |,0.0001362465,5.4646563e-08,0.0018722509,3.0488702e-11,0.99348503,0.0005542904,4.0707226e-05,0.0020338246,0.0002619886,0.0016155764
WDJ001148.20-092110.26,DA,0.99395263,28.6136,|                   |,0.00042733093,0.99395263,0.0039711865,0.00027524217,0.00029147376,8.071398e-08,0.00027749865,0.00037014383,0.00027874392,0.00015568048
WDJ003831.58-080927.10,DA,0.99618196,30.576,|                   |,0.00042406266,0.99618196,0.001247618,0.00063119957,0.0004020682,2.5475796e-07,0.00018969172,0.00034269973,0.0003098829,0.00027061685
WDJ005915.52+065358.48,DA,0.7098365,9.0166,|                   |,0.0019953654,0.7098365,0.27416602,0.00016214093,0.000829846,1.8955352e-07,0.002376372,0.008421586,0.0017191456,0.0004928319
WDJ005604.48-031336.22,DA,0.9884989,10.8803,|                   |,0.00064491277,0.9884989,0.0074336324,0.00041865953,0.0002273531,9.629099e-08,0.0013753617,0.0008259055,0.00032851004,0.00024668025
WDJ005326.45-013056.27,DA,0.9963806,15.9781,|                   |,0.0002614597,0.9963806,0.0012296299,0.00068832195,0.00014928685,1.03130674e-07,0.00029306236,0.00034163793,0.00043159619,0.00022432915
WDJ003120.39+264816.44,P<0.7,0.67576474,5.8329,|                   |,0.0022404573,0.002419493,0.2563689,2.3461844e-07,0.67576474,6.552897e-05,0.00035317597,0.033727538,0.0040805247,0.024979357
WDJ000642.58+161042.17,DB,0.96448123,6.9918,|                   |,0.00088658265,2.6452273e-05,0.0037730339,9.254664e-08,0.96448123,0.0033743605,0.005555063,0.009158815,0.005257352,0.007487033
WDJ002746.77+241206.22,DA,0.99442637,5.4279,|                   |,0.00025850922,0.99442637,0.0018543814,0.0007957155,0.00026805195,2.1448857e-07,0.0010064944,0.00038600573,0.000607872,0.00039630255
WDJ004604.01-103120.13,DAH,0.98743165,11.4611,|                   |,0.00038882054,0.006815782,0.98743165,6.213076e-07,0.0003148727,2.8702916e-08,3.4215052e-05,0.0043608197,0.00060538994,4.7830694e-05
WDJ003022.67+072845.96,DA,0.9931088,17.8603,|                   |,3.2515738e-05,0.9931088,0.0013872113,0.0036308416,0.00011169752,4.0837014e-07,0.0013026532,5.333763e-05,0.00028592753,8.6557775e-05
WDJ000339.00+061855.43,DA,0.9961306,24.8391,|                   |,2.157241e-05,0.9961306,0.0017376574,0.0012660105,5.63477e-05,7.161388e-08,0.0005926225,3.047326e-05,0.0001356503,2.9068997e-05
WDJ003958.46+250937.69,DA,0.99672395,9.64,|                   |,0.00036274485,0.99672395,0.0005002855,0.0008838989,0.00010935829,9.6979385e-08,0.0004509518,0.00030713246,0.0004031153,0.00025835363
WDJ002743.03+275014.04,P<0.7,0.58586335,8.6459,|                   |,0.0012403175,0.3835259,0.026446171,3.5532474e-05,0.00040933813,3.7923897e-08,0.58586335,0.00062065106,0.0015885243,0.00027017697
WDJ002739.53-001741.72,DC,0.9879118,22.4714,|                   |,0.00068704505,0.0022774811,0.0019808307,8.713961e-07,0.0037279767,1.426376e-06,0.9879118,0.0013581092,0.0019562696,9.819171e-05
WDJ003221.86+073934.50,DA,0.9956636,32.5616,|                   |,0.00017216112,0.9956636,0.000985363,0.00080479134,0.00044428464,3.591137e-07,0.00029594908,0.00039523526,0.00048631625,0.00075202703
WDJ004350.25+222047.60,DA,0.9953725,18.1415,|                   |,0.0006201932,0.9953725,0.00038396474,0.0012588989,0.00018682663,2.3628925e-07,0.0008715031,0.00038885142,0.00048406224,0.00043283805
WDJ005618.90+181954.96,DA,0.9947806,23.1666,|                   |,0.00044862123,0.9947806,0.0005825317,0.0012911871,0.0004291253,5.569882e-07,0.0006455921,0.0004355731,0.0009146965,0.00047152638
WDJ003335.88+322111.39,DA,0.9955073,10.8999,|                   |,0.00078345195,0.9955073,0.00029578406,0.0010408626,0.00012956698,1.3547006e-07,0.00090392,0.000422714,0.0004419259,0.00047428894
WDJ000647.37+301203.77,DA,0.9957639,10.4425,|                   |,0.00058479427,0.9957639,0.00067353365,0.0008896361,0.000112747686,1.0073112e-07,0.00070616597,0.00046606862,0.00038699072,0.00041594726
WDJ005630.92+062520.95,DA,0.9974108,13.6162,|                   |,0.0003123997,0.9974108,0.00044161273,0.00097586855,0.00013329656,1.304176e-07,0.00011592769,0.00022837434,0.00021596203,0.00016566821
WDJ005212.26+135302.04,DA,0.99680614,29.392,|                   |,0.00028265757,0.99680614,0.00074127066,0.001126408,0.00018680331,2.1109095e-07,0.0002578476,0.0002595725,0.00020524689,0.00013379664
WDJ001328.71+074844.70,DA,0.71053356,49.4822,|                   |,0.00037369432,0.71053356,0.28596622,0.00026882932,0.00022083854,8.355393e-08,0.0007301026,0.0008122442,0.0009907756,0.000103590915
WDJ002306.65+102041.20,DB,0.9968783,13.7352,|                   |,6.6367385e-05,1.5962671e-08,0.00061133393,1.2453816e-11,0.9968783,0.00077774824,6.94897e-05,0.00041525788,0.00026309336,0.0009182125
WDJ001810.42-004603.34,P<0.7,0.5413026,12.7427,|                   |,0.009271115,0.013713994,0.11509067,0.0007376755,0.037742198,0.0020301521,0.5413026,0.11014958,0.16828938,0.001672639
WDJ001442.57+032257.14,DA,0.99725926,15.7202,|                   |,0.00039461887,0.99725926,0.0007383428,0.00041417574,0.00024309008,1.00958715e-07,0.00016894662,0.000288316,0.0002417887,0.00025130107
WDJ000742.88+030906.47,DB,0.9993713,11.7165,|                   |,6.955025e-06,1.6861184e-11,3.353048e-05,3.965374e-15,0.9993713,0.00023502982,4.0427685e-06,0.00010054861,1.3455295e-05,0.00023505324
WDJ001038.78-003241.43,DA,0.9921156,10.3991,|                   |,0.0005517727,0.9921156,0.0046549416,0.00045491068,0.00017253548,7.9111985e-08,0.00088203105,0.0006460396,0.00028835968,0.00023381072
WDJ004304.87-150309.75,DA,0.99767005,29.2975,|                   |,0.00027227835,0.99767005,0.00040041414,0.0009170133,8.065382e-05,7.4133354e-08,0.00017033433,0.00018048962,0.00019705646,0.0001117893
WDJ000953.73+143114.21,DA,0.99591184,7.1783,|                   |,0.0003603681,0.99591184,0.00078860694,0.0009923361,0.0001678206,1.6721805e-07,0.00048851885,0.00042375183,0.00055023324,0.00031637857
WDJ000630.57+002324.00,DA,0.99473304,9.6729,|                   |,0.0007501665,0.99473304,0.00049886794,0.0010460748,0.00014419245,1.5163474e-07,0.0016443992,0.00038084606,0.0004126665,0.00038954345
WDJ001830.08+084347.17,DA,0.9881948,8.1004,|                   |,0.00020401411,0.9881948,0.007921082,0.0006033698,0.0002986908,1.8237397e-07,0.0012595952,0.0006083968,0.0007002334,0.00020959502
WDJ003835.90+300405.58,DA,0.99683124,17.8568,|                   |,0.0004452561,0.99683124,0.00020279843,0.0014944114,0.000100989804,1.5140007e-07,0.00021077527,0.00022369035,0.0002868772,0.00020378758
WDJ003716.15-050339.47,P<0.7,0.6255565,18.1107,|                   |,6.8113486e-06,3.573221e-06,5.6496865e-05,0.3721749,3.230512e-09,0.00033647945,0.00033974202,9.297858e-05,0.6255565,0.0014324408
WDJ004804.06+030609.18,DB,0.8523962,9.4329,|                   |,0.002192118,0.00209341,0.045197353,1.6068242e-06,0.8523962,0.0006542679,0.011905329,0.04863734,0.016677275,0.020245168
WDJ005333.04+292120.48,DA,0.9961099,7.1442,|                   |,0.00013882224,0.9961099,0.0010022369,0.00064464286,0.00021217333,1.3731017e-07,0.00076932553,0.00020863191,0.0005295702,0.000384583
WDJ002047.35+290932.06,DC,0.99243414,11.3575,|                   |,0.00038565326,0.00083153456,0.0011616214,4.4824012e-07,0.0022527508,1.2143491e-06,0.99243414,0.0015019918,0.0013584261,7.216138e-05
WDJ004429.43-005153.18,DA,0.99690104,9.7429,|                   |,0.00041220698,0.99690104,0.0006224867,0.00045547096,0.00014479074,6.6152985e-08,0.00026495487,0.00040362377,0.00040699804,0.00038837618
WDJ001631.83+053704.57,DA,0.9964722,26.505,|                   |,0.00022694776,0.9964722,0.00076047523,0.0016043701,0.0002512308,4.0449416e-07,0.00013300701,0.00020146609,0.00023733846,0.00011250768
WDJ002509.27+011900.61,DA,0.9956678,18.8669,|                   |,0.0005136901,0.9956678,0.0010542253,0.0006809367,0.0001237546,8.4635694e-08,0.0008710299,0.0004912876,0.00031424497,0.0002829131
WDJ005322.61+194403.95,DA,0.997414,17.7198,|                   |,0.0003085847,0.997414,5.488669e-05,0.0006091431,6.900976e-07,4.2145806e-10,1.9983374e-05,9.193951e-06,3.6988287e-05,0.0015465728
WDJ005035.25+313818.16,DA,0.9968451,9.9101,|                   |,0.0005075612,0.9968451,0.00017427995,0.0012564415,9.0920934e-05,1.1459838e-07,0.00028061378,0.00021196652,0.00032774275,0.00030526906
WDJ000611.24-044455.34,DA,0.9972063,20.2092,|                   |,0.00033107004,0.9972063,0.00018725822,0.0014833051,0.000108184184,1.6091971e-07,0.00013164396,0.0001781685,0.00021245114,0.00016139436
WDJ001948.61+025257.11,DA,0.99661213,19.3212,|                   |,0.00026783228,0.99661213,0.00032314076,0.0018455778,0.00012642948,2.3412866e-07,0.0002087189,0.00020174879,0.0002618808,0.00015235713
WDJ002614.91+112617.99,DA,0.997143,9.9901,|                   |,0.0003184189,0.997143,0.00031859812,0.0010213362,0.000108835346,1.1147597e-07,0.00023365888,0.00025827053,0.00031065676,0.0002871875
WDJ002105.38+295205.64,DA,0.99132526,7.8887,|                   |,0.0014314837,0.99132526,0.0009888663,0.0011989579,0.00023392374,2.8291896e-07,0.0024470126,0.0006453953,0.00083060033,0.0008982272
WDJ005449.35+191700.35,DA,0.9850503,34.3906,|                   |,0.00013464676,0.9850503,0.0029657742,0.0075323186,0.0014686867,1.123051e-05,0.00028619476,0.00048529336,0.00089642825,0.0011690987
WDJ002137.02+014032.95,P<0.7,0.5444009,9.742,|                   |,0.006646046,0.5444009,0.047243703,0.0003623327,0.24408354,0.0001624528,0.06975705,0.035862047,0.027805753,0.023676176
WDJ004830.32+001752.87,DC,0.9749228,18.2081,|                   |,0.0018102528,0.002295227,0.004566517,9.684945e-07,0.006221712,2.6253151e-06,0.9749228,0.006141505,0.0038683969,0.00017004526
WDJ001831.47+022707.17,DA,0.9964273,14.2945,|                   |,0.0005107927,0.9964273,0.00024931945,0.0011553742,0.00013502089,1.56559e-07,0.0004050419,0.00030018418,0.00045996998,0.0003568092
WDJ001144.91-030715.54,DA,0.9934291,21.4572,|                   |,0.00039122722,0.9934291,0.00268424,0.00082525815,0.0004292884,3.5661705e-07,0.00061881373,0.0006531025,0.0005990562,0.00036961012
WDJ005640.20+055254.06,DA,0.9973417,15.9275,|                   |,9.3119386e-05,0.9973417,0.0007174077,0.0007435774,0.00015076523,1.1240442e-07,0.0004978098,0.0001028379,0.00026611035,8.662405e-05
WDJ001224.19+202509.63,DA,0.99749345,25.2359,|                   |,0.00028112417,0.99749345,0.0003835872,0.00096080673,0.00019474677,1.8758419e-07,0.00011882473,0.00019158101,0.00020995994,0.00016576856
WDJ001503.60+280740.76,DA,0.9867909,11.713,|                   |,0.0005756994,0.9867909,0.010102713,0.00025257337,0.00026417663,6.761715e-08,0.00047370826,0.0008852425,0.00041643312,0.00023856593
WDJ000522.60+152706.54,DA,0.98459333,34.3692,|                   |,0.00067726953,0.98459333,0.013061623,0.0001761316,0.00030702195,5.4922435e-08,0.0003390605,0.0004399751,0.00023163445,0.00017388289
WDJ002807.16+314231.89,DA,0.9966018,6.3134,|                   |,9.838246e-05,0.9966018,5.2144595e-05,0.0008581884,2.1152442e-05,1.8214678e-08,3.5382505e-05,3.3258573e-05,0.0001076449,0.002191923
WDJ004605.70+232937.04,DA,0.99595076,9.8431,|                   |,0.00031443502,0.99595076,0.001342555,0.0009245621,0.00018865571,1.7513308e-07,0.00038901056,0.00036480633,0.00030886807,0.00021619994
WDJ001317.33-094900.60,DA,0.99667645,11.7626,|                   |,0.0003719789,0.99667645,0.0010925281,0.0004045426,0.0001294627,5.2547822e-08,0.00043711232,0.00043125454,0.00024112349,0.00021553466
WDJ001725.08+101644.79,DA,0.9779088,22.1063,|                   |,0.00016985499,0.9779088,0.019989667,0.000954898,7.649168e-05,7.4691776e-08,0.00029906412,0.00026642092,0.00028794885,4.6914636e-05
WDJ004450.71-010532.19,DA,0.99510974,10.3961,|                   |,0.00012626107,0.99510974,0.0025984293,0.0006988453,0.00010611045,7.451921e-08,0.000734913,0.00014738359,0.0003400981,0.00013815203
WDJ003430.13-032119.66,DA,0.99803865,20.6397,|                   |,0.0002643836,0.99803865,0.0005905601,0.0005072249,0.00011596257,5.8934692e-08,0.00011909659,0.00014427849,0.000109157714,0.00011061488
WDJ000728.51+305817.85,DA,0.99496305,12.9178,|                   |,0.00038164755,0.99496305,0.0008527089,0.0012197013,0.000341436,4.1855816e-07,0.00065344374,0.00045153536,0.0007293941,0.0004066873
WDJ003722.91+112654.78,DA,0.99305475,11.3992,|                   |,0.00043229765,0.99305475,0.0013363692,0.0011006173,0.0003877864,4.2978945e-07,0.0016910068,0.0005775719,0.0009319988,0.0004871535
WDJ000542.42+320421.02,DA,0.9904117,10.0791,|                   |,0.0005057182,0.9904117,0.0065505737,0.00034342852,0.00031891855,1.1058606e-07,0.00052917545,0.00072070345,0.00039364942,0.00022605127
WDJ003328.03+054038.53,DA,0.96248287,28.0629,|                   |,2.9070816e-05,0.96248287,0.00077309104,0.035595685,0.00012799009,4.733482e-06,0.00016738709,0.00012441,0.0006278117,6.701867e-05
WDJ005056.23+275112.75,DA,0.9975106,23.6322,|                   |,0.0002827063,0.9975106,0.0004891977,0.00081674673,0.00016455427,1.3473456e-07,0.00015537783,0.00021048696,0.000208448,0.0001617581
WDJ004908.61-033032.51,DA,0.9977988,13.126,|                   |,0.00029588197,0.9977988,0.00017992644,0.0007264644,8.182971e-05,5.9577513e-08,0.00016783275,0.00021689922,0.00028196175,0.00025046195
WDJ002511.11+121712.39,CV,1.0,49.8629,|                   |,1.0,9.453557e-16,6.603055e-13,3.2344504e-20,1.7516289e-17,5.9930427e-22,4.822166e-11,1.0759586e-11,2.1809676e-10,1.8058119e-09
WDJ001742.44+004137.35,P<0.7,0.47913748,71.8413,|                   |,0.008121395,0.0036050766,0.47808647,4.5530755e-06,0.47913748,0.0006051326,0.008420635,0.010401274,0.0047591385,0.006858887
WDJ001000.73-130948.29,DA,0.9939026,12.2537,|                   |,5.1100888e-05,0.9939026,0.004974457,0.0004879463,1.50438555e-05,7.3856263e-09,0.00039368775,4.468165e-05,9.894354e-05,3.1574775e-05
WDJ003221.80-083553.67,DA,0.9960391,17.3994,|                   |,8.832838e-05,0.9960391,0.0018184445,0.00069763325,0.00014864266,1.0411043e-07,0.0007594265,0.0001202389,0.00024441798,8.370246e-05
WDJ005347.57+294215.79,DA,0.96119726,14.9315,|                   |,0.0011085683,0.96119726,0.03309403,0.00012531772,0.0012848662,1.6751662e-07,0.0006422431,0.0014980587,0.00062796264,0.00042140417
WDJ003105.85+010600.05,DA,0.99647695,18.1865,|                   |,0.0004218008,0.99647695,0.00021286246,0.001662419,0.00011853786,1.9775628e-07,0.00034119617,0.00023536551,0.00032214005,0.00020851928
WDJ004605.65-171436.14,DA,0.99714494,25.9682,|                   |,0.00022257862,0.99714494,0.00084579136,0.0008594856,0.00023891102,2.0592852e-07,0.00017166162,0.00019527422,0.00020053989,0.00012048797
WDJ001255.92+271725.76,DA,0.99712265,9.1037,|                   |,0.0003703961,0.99712265,0.000479739,0.0005558729,0.00010558724,5.8862458e-08,0.0004018972,0.000318926,0.00033359372,0.00031138601
WDJ005356.04+315014.23,DA,0.9973313,13.5816,|                   |,0.00037516147,0.9973313,0.00018771729,0.0009120828,6.615422e-05,6.049958e-08,0.00037129587,0.00024282554,0.00027398975,0.00023922943
WDJ005953.56+074845.13,DA,0.99415225,12.2313,|                   |,0.00019347134,0.99415225,0.0013096009,0.00087773195,0.0002878046,2.5410125e-07,0.0024652686,0.0002086793,0.00037771254,0.0001273238
WDJ003138.48+123424.66,DB,0.99930215,13.8745,|                   |,8.1235e-06,4.514211e-12,2.5290958e-05,1.9868333e-15,0.99930215,0.00043982145,4.819629e-06,5.589164e-05,1.3540928e-05,0.00015036039
WDJ005650.68+232249.53,DA,0.99576986,12.0945,|                   |,0.00072084373,0.99576986,0.00038664206,0.0009901326,0.0001639869,1.6305854e-07,0.0006514091,0.0003586066,0.00045939823,0.0004990501
WDJ004915.60+195741.27,DA,0.99556357,13.1723,|                   |,0.00025972308,0.99556357,0.0007857211,0.0008723283,0.0003770083,3.3034055e-07,0.00043475273,0.0004866848,0.00065536436,0.00056466245
WDJ001735.68+171317.73,DA,0.9973777,8.8488,|                   |,0.00035690027,0.9973777,0.0005204861,0.00044714072,0.00010966791,4.9165916e-08,0.00027640566,0.00032300313,0.0002895538,0.0002991204
WDJ002556.53+261445.52,DA,0.9973583,10.7201,|                   |,0.00032292673,0.9973583,0.00046690993,0.0006112625,0.00012934831,7.9275196e-08,0.0002766657,0.0003019778,0.0002559667,0.00027664247
WDJ004643.54+084227.63,DB,0.9995812,12.6064,|                   |,4.29904e-06,9.126889e-14,1.252518e-05,2.4641328e-17,0.9995812,0.00026987298,4.6397877e-06,6.297681e-05,7.032197e-06,5.743003e-05
WDJ005619.71+242742.53,DA,0.9961443,13.1383,|                   |,0.00035009405,0.9961443,0.00060785696,0.0012151167,0.00014813288,1.8069544e-07,0.0005527956,0.00035840503,0.00042739473,0.00019574146
WDJ000423.20+094241.63,DA,0.99780923,8.6947,|                   |,0.00027904325,0.99780923,0.00026730454,0.0005921413,7.2086616e-05,4.277918e-08,0.00017269542,0.00022967115,0.00029665898,0.00028108247
WDJ004841.80-125938.10,DC,0.95221484,9.2131,|                   |,0.0010959693,0.0011075133,0.014490257,1.1508735e-06,0.001791407,1.8615423e-06,0.95221484,0.024027454,0.0050769635,0.0001925483
WDJ005428.27+051135.72,DA,0.99765426,10.9581,|                   |,0.0003182695,0.99765426,0.00046825435,0.0005203921,6.850155e-05,3.573148e-08,0.00038094542,0.00023327414,0.00017183012,0.00018427212
WDJ003339.06+103137.92,DA,0.9950147,20.5404,|                   |,0.00072947884,0.9950147,0.0017013523,0.00046512563,0.00023743339,1.1098967e-07,0.0006650258,0.0005227783,0.0003210673,0.0003429811
WDJ005502.18+192000.57,DA,0.9893987,8.3898,|                   |,0.0010087843,0.9893987,0.0015740872,0.00041856372,0.00080782507,3.4174926e-07,0.0029766792,0.000702638,0.0019273581,0.0011849097
WDJ000737.18-090629.32,DA,0.9969009,22.5694,|                   |,0.00042844965,0.9969009,0.00039756345,0.00090649776,0.000110813824,1.0076476e-07,0.00044182083,0.00030582474,0.00025837575,0.00024962664
WDJ002716.86+125309.92,P<0.7,0.61124325,10.6521,|                   |,0.0016053743,0.3362129,0.038062297,0.00018260932,0.0015366069,8.345865e-07,0.61124325,0.0036548376,0.006266136,0.0012350607
WDJ000649.16+022925.58,DA,0.9974498,11.4445,|                   |,0.00035521796,0.9974498,0.00018874291,0.0010225356,7.818023e-05,8.014646e-08,0.00019693258,0.00021501037,0.00027131426,0.00022216709
WDJ004648.66+250915.24,DA,0.9969571,11.7374,|                   |,0.0004889172,0.9969571,0.0001552456,0.0011495436,6.5985136e-05,7.608431e-08,0.00031610148,0.00025255265,0.0002826503,0.00033167863
WDJ000228.29+312908.27,DA,0.99625134,56.9313,|                   |,0.00022712334,0.99625134,0.00033478803,0.0025384077,8.526388e-05,2.1724887e-07,6.60215e-05,0.00015566996,0.00026771522,7.354183e-05
WDJ004813.78+050441.97,DA,0.9966275,36.8665,|                   |,0.00025761686,0.9966275,0.0010506007,0.00082271255,7.920825e-05,6.538613e-08,0.00030252925,0.00017506965,0.00024919698,0.00043544962
WDJ005246.87+022629.03,DC,0.70201486,17.905,|                   |,0.004329494,0.07973322,0.05224996,0.0012672645,0.02357465,0.00037469095,0.70201486,0.057790395,0.075819544,0.0028458333
WDJ004003.83+263002.66,DA,0.9893958,6.9372,|                   |,0.00049565703,0.9893958,0.0071261846,0.0005036219,0.00032808984,1.6700416e-07,0.00043522954,0.00076877256,0.0006444742,0.00030186842
WDJ005840.18+302715.63,DA,0.99546874,15.8866,|                   |,0.00011819946,0.99546874,0.0025991786,0.00036906023,7.192033e-05,2.6663756e-08,0.00095930573,0.00011543968,0.00021113492,8.698849e-05
WDJ003328.54+041834.50,DC,0.93028307,10.3302,|                   |,0.0004813519,0.060504284,0.0046911077,1.7857325e-05,0.0010321578,3.0463258e-07,0.93028307,0.00044791857,0.0023739722,0.0001679645
WDJ000243.15+073856.39,DA,0.996346,17.6145,|                   |,0.00057762617,0.996346,0.0004844883,0.0008145804,9.042681e-05,7.3930046e-08,0.00071280706,0.00038549493,0.00027059964,0.00031796802
WDJ003007.46+103452.52,DA,0.99727166,16.9328,|                   |,0.00041018525,0.99727166,0.00015019851,0.001145416,6.9927926e-05,8.03157e-08,0.00025354908,0.00020083912,0.00025922788,0.00023887683
